Category,Aantal per 100.000 inwoners,Aantal
Woerden,42.10,22.00
Wormerland,49.10,8.00
Woudenberg,15.00,2.00
Zaanstad,20.40,32.00
Zaltbommel,27.70,8.00
Zandvoort,23.40,4.00
Zeewolde,13.20,3.00
Zeist,18.50,12.00
Zevenaar,36.60,16.00
Zoetermeer,16.80,21.00
Zoeterwoude,23.20,2.00
Zuidplas,20.50,9.00
Zundert,59.60,13.00
Zutphen,10.40,5.00
Zwartewaterland,88.10,20.00
Zwijndrecht,20.10,9.00
Zwolle,18.60,24.00
